Customer ID,Total Price,Purchase Date,Product Type
1000,741.09,2024-04-20,Tablet
1002,1855.84,2023-10-17,Laptop
1002,3164.76,2024-08-09,Smartphone
1003,41.5,2024-05-21,Smartphone
1004,83.0,2024-05-26,Smartphone
1005,7603.47,2024-01-30,Smartwatch
1005,4175.64,2024-06-24,Laptop
1006,4175.64,2024-01-01,Laptop
1006,2470.3,2024-06-25,Tablet
1008,3379.32,2023-09-25,Smartwatch
1011,7911.9,2024-07-07,Smartphone
1014,4747.14,2024-05-18,Smartphone
1015,83.0,2024-09-02,Smartphone
1016,103.75,2024-07-07,Smartphone
1018,124.5,2024-07-23,Smartphone
1019,988.12,2024-04-20,Tablet
1021,844.83,2024-03-20,Smartwatch
1024,1582.38,2024-07-10,Smartphone
1025,2783.76,2024-01-29,Laptop
1025,83.0,2024-08-28,Smartphone
1027,4747.14,2023-11-28,Smartphone
1028,6758.64,2023-11-30,Smartwatch
1030,4224.15,2024-02-27,Smartwatch
1031,5913.81,2024-01-21,Smartwatch
1031,103.75,2024-09-03,Smartphone
1033,988.12,2023-11-30,Tablet
1033,3164.76,2024-01-12,Smartphone
1035,186.75,2023-09-24,Smartphone
1035,62.25,2024-03-25,Smartphone
1038,4224.15,2024-07-08,Smartwatch
1038,5068.98,2024-07-29,Smartwatch
1038,145.25,2024-08-17,Smartphone
1038,5538.33,2024-09-23,Smartphone
1039,1729.21,2024-08-31,Tablet
1040,6329.52,2023-10-16,Smartphone
1042,5913.81,2024-07-16,Smartwatch
1043,207.5,2024-03-05,Smartphone
1047,2470.3,2023-12-11,Tablet
1049,145.25,2024-06-25,Smartphone
1053,4175.64,2023-12-20,Laptop
1054,62.25,2024-05-08,Smartphone
1056,1855.84,2024-04-27,Laptop
1058,166.0,2024-06-12,Smartphone
1059,3247.72,2024-02-22,Laptop
1059,463.96,2024-06-27,Laptop
1060,1855.84,2023-09-28,Laptop
1060,1482.18,2023-12-07,Tablet
1060,1582.38,2024-01-29,Smartphone
1061,1976.24,2023-10-25,Tablet
1061,463.96,2024-05-21,Laptop
1062,6329.52,2024-03-23,Smartphone
1063,1855.84,2024-04-25,Laptop
1066,2373.57,2024-07-13,Smartphone
1067,1689.66,2023-12-30,Smartwatch
1069,145.25,2024-05-21,Smartphone
1071,7603.47,2024-06-17,Smartwatch
1073,2223.27,2024-07-11,Tablet
1073,1976.24,2024-09-12,Tablet
1074,7603.47,2023-11-06,Smartwatch
1077,2373.57,2023-12-26,Smartphone
1077,1482.18,2024-05-14,Tablet
1079,41.5,2023-10-24,Smartphone
1079,3164.76,2024-09-12,Smartphone
1079,2373.57,2024-09-15,Smartphone
1080,247.03,2024-08-18,Tablet
1083,3379.32,2024-07-29,Smartwatch
1085,20.75,2023-10-11,Smartphone
1085,741.09,2024-05-02,Tablet
1086,166.0,2024-07-01,Smartphone
1089,3955.95,2024-08-09,Smartphone
1093,7120.71,2024-04-27,Smartphone
1094,20.75,2024-05-07,Smartphone
1096,41.5,2023-12-13,Smartphone
1096,4639.6,2024-05-15,Laptop
1097,988.12,2024-03-25,Tablet
1100,741.09,2024-02-29,Tablet
1100,3379.32,2024-05-19,Smartwatch
1101,207.5,2023-10-09,Smartphone
1101,41.5,2024-05-23,Smartphone
1101,62.25,2024-07-23,Smartphone
1105,1482.18,2024-09-20,Tablet
1109,186.75,2024-07-13,Smartphone
1110,207.5,2024-07-11,Smartphone
1112,2223.27,2024-02-15,Tablet
1112,2223.27,2024-06-19,Tablet
1114,4747.14,2024-01-31,Smartphone
1115,844.83,2024-06-04,Smartwatch
1115,247.03,2024-09-10,Tablet
1116,4175.64,2024-05-20,Laptop
